dataset_name,minirocket,multirocket_default,rocket,multirocket_best,resnet,inceptiontime
Adiac,0.8256606990622337,0.8256606990622337,0.8256606990622337,0.8256606990622337,0.8256606990622337,0.8256606990622337
Beef,0.7907407407407407,0.7907407407407407,0.7907407407407407,0.7907407407407407,0.7907407407407407,0.7907407407407407
BeetleFly,0.8833333333333335,0.8833333333333335,0.8833333333333335,0.8833333333333335,0.8833333333333335,0.8833333333333335
BirdChicken,0.8944444444444447,0.8944444444444447,0.8944444444444447,0.8944444444444447,0.8944444444444447,0.8944444444444447
ChlorineConcentration,0.7995515046296297,0.7995515046296297,0.7995515046296297,0.7995515046296297,0.7995515046296297,0.7995515046296297
Computers,0.7657777777777777,0.7657777777777777,0.7657777777777777,0.7657777777777777,0.7657777777777777,0.7657777777777777
CricketY,0.8354700854700857,0.8354700854700857,0.8354700854700857,0.8354700854700857,0.8354700854700857,0.8354700854700857
Crop,0.7424074074074074,0.7424074074074074,0.7424074074074074,0.7424074074074074,0.7424074074074074,0.7424074074074074
ECG200,0.9044444444444443,0.9044444444444443,0.9044444444444443,0.9044444444444443,0.9044444444444443,0.9044444444444443
ECG5000,0.9437283950617285,0.9437283950617285,0.9437283950617285,0.9437283950617285,0.9437283950617285,0.9437283950617285
Earthquakes,0.7414068745003995,0.7414068745003995,0.7414068745003995,0.7414068745003995,0.7414068745003995,0.7414068745003995
ElectricDevices,0.7339875214340266,0.7339875214340266,0.7339875214340266,0.7339875214340266,0.7339875214340266,0.7339875214340266
Haptics,0.5391414141414141,0.5391414141414141,0.5391414141414141,0.5391414141414141,0.5391414141414141,0.5391414141414141
Herring,0.6527777777777778,0.6527777777777778,0.6527777777777778,0.6527777777777778,0.6527777777777778,0.6527777777777778
InlineSkate,0.4594949494949495,0.4594949494949495,0.4594949494949495,0.4594949494949495,0.4594949494949495,0.4594949494949495
Lightning2,0.7695810564663025,0.7695810564663025,0.7695810564663025,0.7695810564663025,0.7695810564663025,0.7695810564663025
Lightning7,0.8158295281582952,0.8158295281582952,0.8158295281582952,0.8158295281582952,0.8158295281582952,0.8158295281582952
MiddlePhalanxOutlineAgeGroup,0.589105339105339,0.589105339105339,0.589105339105339,0.589105339105339,0.589105339105339,0.589105339105339
MiddlePhalanxTW,0.5364357864357865,0.5364357864357865,0.5364357864357865,0.5364357864357865,0.5364357864357865,0.5364357864357865
MoteStrain,0.9207490237841677,0.9207490237841677,0.9207490237841677,0.9207490237841677,0.9207490237841677,0.9207490237841677
OSULeaf,0.9554637281910008,0.9554637281910008,0.9554637281910008,0.9554637281910008,0.9554637281910008,0.9554637281910008
OliveOil,0.9055555555555558,0.9055555555555558,0.9055555555555558,0.9055555555555558,0.9055555555555558,0.9055555555555558
Phoneme,0.3154887482419128,0.3154887482419128,0.3154887482419128,0.3154887482419128,0.3154887482419128,0.3154887482419128
ScreenType,0.5235555555555554,0.5235555555555554,0.5235555555555554,0.5235555555555554,0.5235555555555554,0.5235555555555554
ShapesAll,0.922685185185185,0.922685185185185,0.922685185185185,0.922685185185185,0.922685185185185,0.922685185185185
SmallKitchenAppliances,0.7994074074074075,0.7994074074074075,0.7994074074074075,0.7994074074074075,0.7994074074074075,0.7994074074074075
UWaveGestureLibraryAll,0.9501675041876045,0.9501675041876045,0.9501675041876045,0.9501675041876045,0.9501675041876045,0.9501675041876045
Wine,0.8004115226337449,0.8004115226337449,0.8004115226337449,0.8004115226337449,0.8004115226337449,0.8004115226337449
WordSynonyms,0.7359804946011843,0.7359804946011843,0.7359804946011843,0.7359804946011843,0.7359804946011843,0.7359804946011843
Worms,0.7647907647907647,0.7647907647907647,0.7647907647907647,0.7647907647907647,0.7647907647907647,0.7647907647907647
